0,0,0,plane
0,38,255,tail
0,127,127,back left fuselage
0,255,144,right wing
76,255,0,front right fuselage
87,0,127,left wing
255,0,0,nose
255,0,220,back right fuselage
255,216,0,front left fuselage
255,255,255,background
