t lat lon alt heading roll pitch
43.44 33.7787095 -84.4024976 286.9 -0.92389 0.048076 0.017564
44.042 33.7787062 -84.4025031 286.9 -0.7896 0.24531 0.035355
44.448 33.7787055 -84.4025037 287.1 -0.68608 0.21208 0.0037769
46.968 33.7787063 -84.4025027 287.4 -0.53386 0.014169 -0.028309
47.053 33.7787065 -84.4025031 287.5 -0.53658 0.027368 -0.02361
47.452 33.7787062 -84.4025041 287.5 -0.54664 -0.080364 -0.010142
48.053 33.7787046 -84.4025084 287.7 -0.65356 -0.037877 -0.0053157
48.453 33.7787036 -84.4025116 287.8 -0.75136 0.09253 0.016009
51.342 33.7787026 -84.4025125 287.9 -0.91964 0.14931 0.026402
51.343 33.7787034 -84.4025122 288.1 -1.0332 0.027927 -6.825e-05
51.47 33.7787035 -84.4025122 288.3 -1.0335 -0.00010621 0.001391
52.075 33.7787022 -84.4025139 288.8 -1.0401 -0.12951 -0.018528
52.474 33.7786995 -84.4025169 288.8 -1.0504 -0.13561 -0.01356
53.075 33.7786938 -84.4025227 288.8 -1.0665 0.00099532 0.0093481
53.476 33.77869 -84.402526 288.9 -1.0727 0.039945 0.0053972
54.077 33.7786871 -84.4025281 288.9 -1.0841 0.16931 0.013859
56.76 33.7786868 -84.4025276 289.1 -1.1041 0.13738 -0.0087154
56.76 33.7786871 -84.4025276 289.6 -1.1041 0.13738 -0.0087154
56.76 33.7786871 -84.402528 289.6 -1.1117 0.026787 0.010825
57.082 33.778687 -84.4025279 289.6 -1.1088 -0.046125 0.047228
57.483 33.7786855 -84.4025276 289.5 -1.1458 -0.1553 0.099803
58.084 33.778681 -84.4025278 289.2 -1.1409 -0.060139 0.036546
58.488 33.7786772 -84.4025281 289.1 -1.1304 0.0043879 -0.023122
59.094 33.7786754 -84.4025281 289.1 -1.1236 0.087344 -0.033966
61.565 33.7786744 -84.4025287 289.3 -1.1192 0.049942 0.044738
61.565 33.7786742 -84.4025288 289.3 -1.1213 0.029263 0.059315
62.107 33.7786733 -84.4025303 289.4 -1.1088 -0.081474 0.010327
62.511 33.7786715 -84.4025335 289.5 -1.0627 -0.14289 -0.01915
63.116 33.7786657 -84.402543 289.4 -0.94366 -0.10836 0.0024683
63.514 33.7786616 -84.4025502 289.3 -0.86282 0.0067284 0.052489
64.115 33.7786558 -84.4025605 289.2 -0.72357 0.0097365 0.064668
64.521 33.7786518 -84.4025673 289.2 -0.6288 0.10996 0.040635
65.118 33.7786476 -84.4025735 289 -0.51247 0.25236 -0.02203
65.523 33.7786466 -84.402574 289.1 -0.43343 0.26393 -0.037562
68.085 33.7786457 -84.4025733 288.7 -0.28102 0.088346 -0.046862
68.125 33.7786461 -84.4025735 288.6 -0.2779 0.078501 -0.01645
68.527 33.7786464 -84.4025744 288.6 -0.27427 -0.01561 -0.055538
69.127 33.7786482 -84.40258 288.6 -0.22868 -0.12011 -0.089491
69.528 33.7786499 -84.4025862 288.6 -0.17761 -0.034716 -0.025906
70.132 33.7786524 -84.4025954 288.6 -0.09362 0.0064058 0.0049681
70.532 33.7786538 -84.4026005 288.6 -0.035688 0.089915 0.02955
71.132 33.7786538 -84.4026043 288.6 0.048655 0.23229 0.019669
73.725 33.7786526 -84.4026046 288.1 0.16504 0.034521 -0.051776
73.726 33.7786531 -84.4026046 288.1 0.1696 0.060566 0.0040632
74.138 33.7786544 -84.4026037 288 0.1522 0.11656 -0.26704
76.658 33.7786576 -84.4026014 287.9 -0.0015998 0.0023524 -0.023632
76.659 33.7786576 -84.4026014 287.9 -0.0081275 -0.00092327 -0.035782
77.151 33.7786582 -84.4026027 287.8 0.0055376 -0.10099 -0.049668
77.552 33.7786589 -84.4026062 287.8 0.077802 -0.19586 -0.035831
78.154 33.7786613 -84.4026156 287.8 0.23386 -0.065909 0.040044
78.556 33.7786622 -84.4026219 287.9 0.35499 -0.034403 0.040255
79.163 33.778663 -84.4026311 287.7 0.53632 0.092473 -0.039504
79.558 33.7786624 -84.402634 287.6 0.65652 0.14124 -0.12344
82.34 33.7786599 -84.4026341 286.9 0.83896 0.029682 -0.11104
82.341 33.7786603 -84.4026339 286.6 0.9405 0.0053798 -0.015662
82.563 33.7786606 -84.402634 286.5 0.94126 -0.030198 0.0014052
83.164 33.7786626 -84.4026368 286.4 0.93881 -0.17024 0.069789
83.571 33.7786655 -84.4026407 286.3 0.97439 -0.1225 0.082495
