5.9304,183.37,2.5261,-0.34825,-5.9202
6.3507,236.75,47.246,-5.3107,-3.4825
9.5295,275.24,71.761,-9.4897,0.87061
7.5923,273.95,24.981,-7.5743,0.52237
12.691,275.91,8.8068,-12.624,1.3059
20.123,284.28,37.942,-19.502,4.9625
27.411,290.45,69.814,-25.683,9.5768
29.567,307.34,136.17,-23.507,17.935
25.97,321.67,173.57,-16.106,20.372
27.28,329.51,135,-13.843,23.507
27.13,329.32,115.36,-13.843,23.332
32.985,340.9,149.33,-10.796,31.168
33.171,359.85,180,-0.087061,33.17
32.928,18.818,210.67,10.621,31.168
27.041,30.363,244.64,13.669,23.332
27.192,30.177,225,13.669,23.507
25.863,38.027,186.43,15.932,20.372
29.429,52.452,223.83,23.332,17.935
27.247,69.423,290.19,25.509,9.5768
19.955,75.6,322.06,19.328,4.9625
12.518,84.012,351.19,12.45,1.3059
7.4186,85.962,335.02,7.4002,0.52237
9.3562,84.661,288.24,9.3156,0.87061
6.2058,124.14,312.75,5.1366,-3.4825
