t lat lon alt heading roll pitch
41.155 33.9332813 -84.5389936 338.8 -1.1249 -0.06239 0.13791
41.755 33.9332771 -84.5389872 339.4 -1.0995 0.019911 -0.02327
42.155 33.9332761 -84.538985 339.6 -1.0814 0.0024056 -0.049806
45.859 33.933276 -84.5389846 340.4 -1.0429 -0.017626 0.12798
45.859 33.933276 -84.5389844 340.3 -1.0424 -0.0033723 0.12357
46.164 33.9332753 -84.538985 340.4 -1.0436 -0.082234 0.076418
46.768 33.9332732 -84.5389895 340.6 -0.99469 -0.18974 0.0082282
47.169 33.9332704 -84.5389955 340.6 -0.93522 -0.21153 0.014714
47.769 33.9332652 -84.5390074 340.6 -0.83683 -0.052022 0.084143
48.173 33.9332616 -84.539015 340.5 -0.76811 -0.046327 0.087836
48.777 33.9332559 -84.539027 340.4 -0.66348 -0.03834 0.087361
49.178 33.9332529 -84.5390344 340.4 -0.58893 0.087407 0.1091
49.78 33.9332499 -84.5390407 340.4 -0.47942 0.2196 0.10251
50.179 33.9332491 -84.5390414 340.4 -0.41711 0.20443 0.093601
53.635 33.9332481 -84.5390424 340.7 -0.31906 0.076489 0.10271
53.788 33.9332481 -84.5390428 340.7 -0.31933 0.059624 0.08901
54.188 33.9332476 -84.5390452 340.7 -0.31539 -0.09415 0.087862
54.791 33.9332463 -84.5390531 340.7 -0.27416 -0.13731 0.11363
55.191 33.9332447 -84.539062 340.8 -0.22725 -0.091628 0.1269
55.793 33.9332418 -84.5390748 341.1 -0.15558 0.043735 0.10809
56.195 33.9332398 -84.5390828 341.3 -0.11224 0.045269 0.099878
56.795 33.9332369 -84.539094 341.5 -0.04472 0.11022 0.081445
57.194 33.9332354 -84.5390992 341.5 -0.0011923 0.22392 0.049004
57.797 33.9332339 -84.5391015 341.8 0.063778 0.23803 0.025984
61.326 33.9332324 -84.5391014 341.9 0.13478 0.10084 0.074329
61.326 33.9332323 -84.5391015 342 0.13816 0.094565 0.07915
61.811 33.9332329 -84.5391006 342 0.11435 0.18349 -0.054193
62.21 33.9332349 -84.5390977 342.2 0.047151 0.22098 -0.094634
62.813 33.9332394 -84.5390911 342.3 -0.070595 0.097032 0.034989
63.214 33.9332424 -84.5390872 342.4 -0.16915 0.06275 0.061225
63.815 33.9332456 -84.5390839 342.4 -0.31729 -0.082288 0.1468
67.514 33.9332462 -84.5390839 342.4 -0.41184 -0.035642 0.13148
67.514 33.9332461 -84.539084 342.6 -0.41184 -0.035642 0.13148
67.514 33.9332459 -84.5390839 342.7 -0.51381 0.056324 0.089324
67.824 33.9332452 -84.5390843 342.8 -0.52067 -0.04797 0.12165
68.227 33.9332435 -84.5390866 342.8 -0.54248 -0.14591 0.14675
68.829 33.9332379 -84.5390938 342.9 -0.58562 -0.13599 0.1495
69.238 33.9332329 -84.5391 342.9 -0.61039 -0.020587 0.12128
69.834 33.9332248 -84.5391094 342.9 -0.65955 0.038008 0.11615
70.234 33.9332195 -84.5391151 342.9 -0.6972 0.0043933 0.09177
70.835 33.9332133 -84.5391215 343 -0.74343 0.14589 0.076225
71.236 33.9332113 -84.5391233 343.1 -0.77957 0.16458 0.074478
75.04 33.93321 -84.5391233 343.3 -0.83612 0.10066 0.046009
75.04 33.9332086 -84.539124 343.5 -0.83612 0.10066 0.046009
75.041 33.9332083 -84.5391245 343.4 -0.86878 0.059775 0.097345
75.245 33.9332079 -84.5391248 343.4 -0.87141 -0.0066828 0.083672
75.845 33.9332055 -84.5391292 343.3 -0.85181 -0.16002 0.021185
76.248 33.9332025 -84.5391354 343.4 -0.8218 -0.16965 0.022888
76.849 33.9331965 -84.5391478 343.4 -0.76813 -0.057534 0.064481
77.251 33.9331923 -84.5391568 343.3 -0.72912 -0.00074359 0.084472
77.851 33.9331858 -84.5391697 343.3 -0.67605 -0.021252 0.082401
78.252 33.9331812 -84.5391784 343.2 -0.64236 -0.0035571 0.077434
78.856 33.9331754 -84.5391893 343.1 -0.58086 0.14927 0.072965
79.254 33.9331732 -84.5391935 343.1 -0.54469 0.22728 0.064511
79.855 33.9331719 -84.5391952 343.1 -0.48916 0.18995 0.066312
83.247 33.9331702 -84.5391974 342.6 -0.44257 0.11544 0.068213
83.263 33.9331702 -84.5391975 342.6 -0.4448 0.077538 0.064208
83.865 33.9331694 -84.5392 342.5 -0.4346 -0.095897 0.06505
84.265 33.9331679 -84.539205 342.6 -0.40602 -0.14544 0.071261
84.87 33.9331645 -84.5392184 342.7 -0.34019 -0.09604 0.094593
85.268 33.9331619 -84.5392278 342.7 -0.28625 0.042893 0.094924
85.875 33.9331578 -84.5392414 342.9 -0.21726 0.019876 0.088568
86.276 33.9331545 -84.5392499 343 -0.17347 0.032717 0.083204
86.874 33.9331499 -84.539262 343.1 -0.10072 0.083437 0.048831
87.278 33.9331474 -84.5392672 343.2 -0.057333 0.20653 -0.0046806
87.883 33.9331456 -84.5392699 343.1 0.012417 0.21983 -0.016395
91.455 33.9331448 -84.5392703 342.5 0.098457 0.098722 0.06831
91.455 33.933145 -84.5392701 342.4 0.098253 0.071952 0.081715
91.896 33.9331457 -84.5392711 342.4 0.10537 -0.04112 -0.014038
92.299 33.9331484 -84.5392744 342.3 0.15413 -0.10914 -0.059283
92.904 33.9331568 -84.5392831 342.2 0.26617 -0.094302 -0.033621
93.307 33.9331632 -84.5392911 342.1 0.348 0.0011525 0.025291
93.909 33.9331723 -84.5393018 342.1 0.48311 0.043017 0.022891
94.311 33.9331782 -84.5393086 342.1 0.5728 0.011843 0.032601
94.913 33.9331876 -84.5393187 342.2 0.70043 0.02443 0.050713
95.314 33.9331937 -84.5393255 342.2 0.7936 0.088689 0.06362
95.915 33.9332005 -84.5393336 342.3 0.9251 0.25375 0.016101
96.318 33.9332018 -84.5393367 342.3 1.0017 0.30587 -0.040843
100.08 33.933201 -84.5393395 341.7 1.1328 0.16389 -0.070191
100.08 33.9332011 -84.5393392 341.7 1.2008 0.09794 -0.012842
100.32 33.9332016 -84.5393391 341.6 1.2001 0.025844 -0.053835
100.92 33.9332057 -84.5393378 341.6 1.2401 -0.10711 -0.12672
101.33 33.9332115 -84.5393357 341.8 1.2916 -0.12138 -0.11288
101.93 33.9332235 -84.5393318 341.8 1.3707 -0.0072306 -0.026922
102.33 33.9332315 -84.5393298 341.8 1.4259 0.018803 -0.024219
102.93 33.9332444 -84.5393266 341.7 1.5163 0.023879 -0.03577
103.33 33.9332521 -84.5393247 341.7 1.5719 0.014623 -0.043864
103.93 33.933263 -84.5393221 341.6 1.6567 0.12818 -0.034184
104.33 33.9332676 -84.5393214 341.5 1.7138 0.21554 -0.040104
104.94 33.9332698 -84.5393218 341.5 1.8031 0.18344 -0.079214
108.4 33.93327 -84.5393222 341.7 1.8933 0.056667 -0.05784
108.4 33.9332698 -84.5393221 341.7 1.8944 0.054861 -0.05464
108.95 33.9332715 -84.5393228 341.7 1.8781 -0.053132 0.042843
109.35 33.9332747 -84.5393243 341.8 1.8355 -0.10104 0.064226
109.96 33.9332821 -84.539328 341.9 1.7526 -0.019603 -0.0041551
110.36 33.9332876 -84.5393307 341.7 1.6899 0.0094269 -0.023281
110.96 33.9332954 -84.5393344 341.7 1.5961 0.066816 -0.054897
111.36 33.9332994 -84.5393363 341.6 1.5267 0.19641 -0.096345
111.96 33.9333008 -84.5393374 341.6 1.4335 0.20073 -0.086489
115.33 33.9333013 -84.5393373 341.3 1.3593 0.097649 -0.029783
115.37 33.9333013 -84.5393373 341.2 1.3594 0.11532 -0.022461
118.88 33.9332997 -84.5393369 340.8 1.2282 0.07569 -0.019086
118.98 33.9332998 -84.539337 340.9 1.23 0.066343 -0.014226
119.38 33.933301 -84.539338 340.9 1.2289 -0.075118 0.031054
119.99 33.9333063 -84.5393431 341 1.2452 -0.16474 0.06478
120.39 33.9333127 -84.539349 341 1.2689 -0.12861 0.073215
120.99 33.9333236 -84.5393593 341.1 1.3131 0.048997 0.02018
121.39 33.93333 -84.5393663 341 1.3354 0.035605 0.017712
